Date,Raw tweet
2023-01-28 09:17:41+00:00,"Kebbi up next for the PDP Presidential Campaign Rally today.

Only #AtikuOkowa can win https://t.co/ItzkfgTust"
2023-01-28 08:51:33+00:00,"#AtikuOkowa2023 
The PDP AtikuOkowa @OfficialPDPNig Presidential Campaign Rally Train lands in Kebbi ...
The #RecoveryTeam is set to hit the Land of Equity. 

@atiku snd @IAOkowa in Kebbi State, today, Saturday, 28th Jan., 2023.

#Okowalition @PDP_NEWMEDIA https://t.co/9K59F20loj"
2023-01-28 08:21:25+00:00,"#AtikuOrganizingForAction

It has been 8 years of intense suffering, at the hands of a careless government. Vote PDP as the safe choice to recover our country.

#presidency #AtikuOkowa #PDP https://t.co/cR65qMozIQ"
2023-01-28 07:59:31+00:00,"The incoming President and his first lady.
Vote AtikuOkowa 2023
#AtikuOrganizingForAction https://t.co/Eus5r0tswS"
2023-01-28 07:47:19+00:00,"The RECOVERY TEAM is set to hit the Land of Equity. 

ATIKU/OKOWA IN KEBBI STATE,  TODAY, SATURDAY, 28TH JAN, 2023.

VOTE AtikuOkowa
VOTE PDP 

#AtikuOrganizingForAction https://t.co/xOG0bfUdfU"
2023-01-28 11:18:54+00:00,@_Khadejah_atiku Are u a savage freak🥵 in bed
2023-01-28 11:18:53+00:00,@OfficialPDPNig @atiku I should waste my data to watch atiku?
2023-01-28 11:18:51+00:00,@AYOOijiwole Too much talking nonsense has made atiku the unifier lose his voice😂. Shit block his throat
2023-01-28 11:18:51+00:00,"@timmyoflife @IfedolapoOsun @moronfoluma Political Party is not a religion, even you are free to Port to another religion anytime you so wishes. Atiku was aggrieved with PDP in 2015, he left the Party and worked for his new Party. Makinde and Wike are free to leave PDP and work for their choice Party."
2023-01-28 11:18:46+00:00,"@oldest_race @GazetteNGR If we all vote and Obi wins, he'll listen to court order and release Kanu. But if we don't vote and Atiku or Tinubu wins, they won't obey court orders and he won't be released. Now, tell me. How does not voting get him released or give Igbos Biafra?"
2023-01-28 11:18:42+00:00,@U_Rochas @atiku You will soon hug transformer. E no go tay watch and see.
2023-01-28 11:18:42+00:00,"@Iperu_Boy No , there are dynamics to these things 
Same way if Atiku wins in Oyo it’ll be because of the supposed goodwill of GSM"
2023-01-28 11:18:37+00:00,"@atiku Speak for APPDP not Nigerian, Nigerian are ok with this deadline, NO EXTENSION MR SPV"
2023-01-28 11:18:30+00:00,@BUKOLA00459341 @renoomokri You are suggesting a most dangerous and undemocratic  thing. Recall unlawful means was used to remove Onnoghen as Chief Justice of Nigeria because they thought he will favour Atiku. That is Executive interfering with separation of powers
2023-01-28 11:18:26+00:00,"National PDP can use the Ekiti style in Abia
Dissolve state executive and appoint caretaker committee and use it to conduct primaries.
Don't forget that some PDP big weight in the state support the national chairman and Atiku against Ikpeazu
It's unfortunate, nobody saw it coming"
2023-01-28 10:37:19+00:00,"@IAOkowa Even the heavens have ordained the #AtikuOkowa victory.

We will #RecoverNigeria by the special grace of God."
2023-01-28 10:34:00+00:00,@thecableng @officialABAT @OfficialAPCNg This is the second time he is castigating Buhari in public. Each time he runs to Aso Rock with his cohort to beg for leniency. Tinubu is too desperate to rule but I know he can't get there. Vote AtikuOkowa
2023-01-28 10:23:58+00:00,"@IAOkowa There is no issue in life that is impossible with God. The arrival of God is the arrival of possibilities. With God, Nigeria shall arise and  be great again! May the Lord give us access to peaceful and transparent election!
#AtikuOkowa
#OkowaIsWorking"
2023-01-28 10:17:11+00:00,@AdamuAtikuA Yeriman Villa I wish you all the best. AtikuOkowa is our choice in Sha Allah
2023-01-28 09:26:55+00:00,"The Land of Equity, today will host the Recovery Plan Team. ATIKU/OKOWA IN KEBBI  - SATURDAY, 28TH JANUARY, 2023.

#RESETNigeria
#AtikuOkowa https://t.co/PY1spuj4Sg"
2023-01-28 09:17:41+00:00,"Kebbi up next for the PDP Presidential Campaign Rally today.

Only #AtikuOkowa can win https://t.co/ItzkfgTust"
2023-01-28 08:51:33+00:00,"#AtikuOkowa2023 
The PDP AtikuOkowa @OfficialPDPNig Presidential Campaign Rally Train lands in Kebbi ...
The #RecoveryTeam is set to hit the Land of Equity. 

@atiku snd @IAOkowa in Kebbi State, today, Saturday, 28th Jan., 2023.

#Okowalition @PDP_NEWMEDIA https://t.co/9K59F20loj"
2023-01-28 08:21:25+00:00,"#AtikuOrganizingForAction

It has been 8 years of intense suffering, at the hands of a careless government. Vote PDP as the safe choice to recover our country.

#presidency #AtikuOkowa #PDP https://t.co/cR65qMozIQ"
2023-01-28 07:59:31+00:00,"The incoming President and his first lady.
Vote AtikuOkowa 2023
#AtikuOrganizingForAction https://t.co/Eus5r0tswS"
2023-01-28 07:47:19+00:00,"The RECOVERY TEAM is set to hit the Land of Equity. 

ATIKU/OKOWA IN KEBBI STATE,  TODAY, SATURDAY, 28TH JAN, 2023.

VOTE AtikuOkowa
VOTE PDP 

#AtikuOrganizingForAction https://t.co/xOG0bfUdfU"
2023-01-28 11:22:03+00:00,@mahbeel_A @atiku Yes oo @Aboulinnocent
2023-01-28 11:22:01+00:00,@Dr_chazduke I'll surely show you a traitor. Nobody who loves his/her fatherland wants Atiku or Tinubu.
2023-01-28 11:21:58+00:00,@_Khadejah_atiku What's your body count
2023-01-28 11:21:54+00:00,@mahbeel_A @atiku You be big mumu
2023-01-28 11:21:49+00:00,@U_Rochas @atiku Where is Chimaroke? 😀😀😀
2023-01-28 11:21:37+00:00,"@inspkector @atiku Is Hundred days enough for open over 150,000,000 million accounts?"
2023-01-28 11:21:34+00:00,"@atiku Sir, biko deposit ur money in the bank and leave stories"
2023-01-28 11:21:33+00:00,"@lanredemola @Itz_Zosef @Eloka51 If Obi  have 25% from at least 20 states, win all South East states and majority of votes from SS then 1 win.

If atiku gets 25% from 24 states and wins the simple majority of votes in the election you win, 

Any out less of this is a draw.

Both outcomes is also a draw"
2023-01-28 11:21:30+00:00,@Barakatizelove @atiku @PeterObi @PeterPsquare @_dinomelaye APC is in power. So we deduced from all this that APC is sabotaging APC. Guess is their strategy to win come 25
2023-01-28 11:21:29+00:00,@olaolami001 @richardtayo @atiku @_dinomelaye Honestly is because of this man I also hate to vote for Atiku.
